id,name,sku,description,price,special_price,erpstock_label,manufacturer_label
63969,Pc de Bureau Gamer MYTEK i5 12è Gén 16Go RTX 5060Ti 8Go,PANZER-12400-5060Ti,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8Go ) DDR4 3200MHz - Disque Dur: PNY SSD CS2230 M2 NVMe PCIe Gen3x4 500Go R3300/W2500 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: PNY GEFORCE RTX 5060TI 8Go OC DUAL FAN - Boîtier GAMER INCA EMG-15XN - BLOC D'ALIMENTATION AEROCOOL LUX 550W BRONZE - Dimensions: 345 x 183 x 430 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2729,,Sur commande 48h,MYTEK
64750,Pc de Bureau Gamer MYTEK i5 12è Gén 32G RTX5060 8G,PANZER-12400-5060-32G-1T,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X16Go ) DDR4 3200MHz - Disque Dur: PNY SSD CS2230 M2 NVMe PCIe Gen3x4 1To R3300/W2600 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: PNY GEFORCE RTX 5060 8Go DUAL FAN - Boîtier GAMER INCA EMG-15XN - BLOC D'ALIMENTATION AEROCOOL LUX 550W BRONZE - Dimensions: 345 x 183 x 430 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2739,,Sur commande 48h,MYTEK
60269,Pc de Bureau Gamer MYTEK i5 14è Gén 16Go RTX 5060 8G,NITRO-14400-5060,"Processeur: Intel Core i5 14400F (Up to 4.7 GHz Turbo max , 20Mo Mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 x 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte Graphique: MSI GeForce RTX 5060 8G VENTUS 2X OC - Boîtier Gamer MSI MAG FORGE M100R / Micro-ATX / 4 ventilo ARGB + Controlleur - MSI BLOC D'ALIMENTATION MAG A550BNL 550W BRONZE - Dimensions: 388 x 200 x 423 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2759,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
60357,Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go RTX 5060 8G,NITRO-5500-5060-32G,"Processeur: AMD Ryzen™ 5 5500 ( 3,6 GHz up to 4,2 GHz Turbo max , 16Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 x 16Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI B450M-A PRO MAX II - Carte Graphique: MSI GeForce RTX 5060 8G VENTUS 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW  / ATX / 6 ventilo Auto RGB - MSI BLOC D'ALIMENTATION MAG A550BNL 550W BRONZE - Dimensions: 411.6 x 210 x 498 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2779,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
64746,Pc de Bureau Gamer MYTEK i5 12è Gén 32Go RTX5060 8G,PANZER-12400-5060-32G,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16Go ) DDR4 3200MHz - Disque Dur: PNY SSD CS2230 M2 NVMe PCIe Gen3x4 500Go R3300/W2500 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: PNY GEFORCE RTX 5060 8Go DUAL FAN - Boîtier GAMER INCA EMG-15XN - BLOC D'ALIMENTATION AEROCOOL LUX 550W BRONZE - Dimensions: 345 x 183 x 430 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2789,,Sur commande 48h,MYTEK
60811,Pc de Bureau Gamer MYTEK i5 12è Gén 32Go RTX 5060 8Go,MOONKNIGHT-12400-5060-32G,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32Go ( 2 x 16 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GEFORCE RTX 5060 8G SHADOW 2X OC - Boîtier GAMER MSI MAG FORGE M100R WHITE Micro-ATX 4 ventilo ARGB + Controlleur - MSI BLOC D'ALIMENTATION MAG A550BNL 550W BRONZE - Dimensions: 388 x 200 x 423 mm - Couleur: Blanc - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2829,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
60799,Pc de Bureau Gamer MYTEK i5 12è Gén 16Go RTX 5060 Ti 8G,NITRO-12400-5060Ti,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte Graphique: MSI GeForce RTX 5060 Ti 8G VENTUS 2X OC PLUS - Refroidisseur CPU: COOLER MASTER AIR-COOLER I70C LGA1700 TDP 95W - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilos Auto RGB - MSI BLOC D'ALIMENTATION MAG A600DN 80+WHITE - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2859,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
59702,Pc de Bureau Gamer MYTEK i5 12è Gén 32Go RTX 5060 8G,NITRO-12400-5060-32G,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte Graphique: MSI GeForce RTX 5060 8G SHADOW 2X OC - Boîtier MSI MAG FORGE M100R / Micro-ATX / 4 ventilo ARGB + Controlleur - MSI BLOC D'ALIMENTATION MAG A550BNL 550W BRONZE - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2889,,En stock,POWERED-BY-MSI-ADVANCED
60396,Pc de Bureau Gamer MYTEK AMD RYZEN 5 32G RTX 5060 8G,NITRO-5600-5060-32G,"Processeur: AMD Ryzen™ 5 5600 ( 3.5 GHz up to 4.4 GHz Turbo max , 32Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI B450M-A PRO MAX II - Carte Graphique: MSI GeForce RTX 5060 8G VENTUS 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW  / ATX / 6 ventilo Auto RGB - MSI BLOC D'ALIMENTATION MAG A550BNL 550W BRONZE - Dimensions: 411.6 x 210 x 498 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2899,,En stock,POWERED-BY-MSI-ADVANCED
69579,Pc de Bureau Gamer MYTEK i5 12ème Gén 16G RTX 5060 8G,GAMRA-12400-5060-1T,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) DDR4 3200Mhz - Disque Dur: MSI SSD SPATIUM M371 M.2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5060 8G SHADOW 2X OC - Refroidisseur CPU: MSI AIR-COOLER MAG COREFROZR AA13 WHITE TDP 240W - Boîtier Gamer MSI MAG FORGE M100R WHITE / Micro-ATX / 4 ventilo ARGB + Controlleur - Bloc d'alimentation MSI MAG A550BNL 550W BRONZE - Couleur: Blanc - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2899,,En stock,POWERED-BY-MSI-ULTIMATE
69591,Pc de Bureau Gamer MYTEK i5 12ème Gén 32Go RTX 5060 8G,GAMRA-12400-5060-32G,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) DDR4 3200Mhz - Disque Dur: MSI SSD SPATIUM M371 M.2 NVME Gen3x4 500Go R2200-W1150 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5060 8G SHADOW 2X OC - Refroidisseur CPU: MSI AIR-COOLER MAG COREFROZR AA13 WHITE TDP 240W - Boîtier Gamer MSI MAG FORGE M100R WHITE / Micro-ATX / 4 ventilo ARGB + Controlleur - Bloc d'alimentation MSI MAG A550BNL 550W BRONZE - Couleur: Blanc - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2899,,En stock,POWERED-BY-MSI-ULTIMATE
60817,Pc de Bureau Gamer MYTEK i5 12è Gén 32G RTX 5060 8G 1To SSD,MOONKNIGHT-12400-5060-32G-1T,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 1To R3600-W3000 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GEFORCE RTX 5060 8G SHADOW 2X OC - Boîtier GAMER MSI MAG FORGE M100R WHITE Micro-ATX 4 ventilo ARGB + Controlleur - MSI BLOC D'ALIMENTATION MAG A550BNL 550W BRONZE - Dimensions: 388 x 200 x 423 mm - Couleur: Blanc - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2919,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
65868,Pc de Bureau Gamer MYTEK i5 12è Gén 16Go RTX 5060 Ti 8Go,SNOWOLF-12400-5060Ti,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5060 Ti 8G VENTUS 2X OC PLUS - Boîtier Gamer MSI MAG FORGE M100R WHITE / Micro-ATX / 4 ventilo ARGB + Controlleur - Alimentation MSI MAG A650BNL 650W BRONZE - Dimensions: 388 x 200 x 423 mm - Couleur: Blanc - Garantie: 1an Retrait en Magasin ou Livraison Gratuite *",2929,,Sur commande 48h,MYTEK
62955,Pc de Bureau Gamer MYTEK i7 12è Gén 16Go RTX 5050 8G,VIKING-12700-5050,"Processeur: Intel Core i7-12700F (Up to 4.90 GHz Turbo max , 25Mo Mémoire cache, 12-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI PRO B760M-P DDR4 m-ATX - Carte graphique: MSI GeForce RTX 5050 8G SHADOW 2X OC - Boîtier Gamer MSI MAG FORGE 120A AIRFLOW / ATX / 6 ventilos Auto RGB - Bloc d'alimentation MSI MAG A500DN 80+Standard - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2969,,Sur commande 48h,MYTEK
69600,Pc de Bureau Gamer MYTEK i5 12ème Gén 32G RTX 5060 8G,GAMRA-12400-5060-32G-1T,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) DDR4 3200Mhz - Disque Dur: MSI SSD SPATIUM M371 M.2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5060 8G SHADOW 2X OC - Refroidisseur CPU: MSI AIR-COOLER MAG COREFROZR AA13 WHITE TDP 240W - Boîtier Gamer MSI MAG FORGE M100R WHITE / Micro-ATX / 4 ventilo ARGB + Controlleur - Bloc d'alimentation MSI MAG A550BNL 550W BRONZE - Couleur: Blanc - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",2999,,En stock,POWERED-BY-MSI-ULTIMATE
60807,Pc de Bureau Gamer MYTEK i5 14è Gén 16Go RTX 5060 Ti 8G,NITRO-14400-5060Ti,"Processeur: Intel Core i5 14400F (Up to 4.7 GHz Turbo max , 20Mo Mémoire cache, 10-Cores ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x4 1To R2350-W1700 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte Graphique: MSI GeForce RTX 5060 Ti 8G VENTUS 2X OC PLUS - Boîtier MSI MAG FORGE M100R / Micro-ATX / 4 ventilo ARGB + Controlleur - MSI BLOC D'ALIMENTATION MAG A600DN 80+WHITE - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",3019,,Sur commande 48h,POWERED-BY-MSI-ESSENTIAL
63973,Pc de Bureau Gamer MYTEK i5 12è Gén 32Go RTX 5060Ti 8Go,PANZER-12400-5060Ti-32G,"Processeur: Intel Core i5-12400F ( 2.50 GHz up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) 3200Mhz DDR4 - Disque Dur: PNY SSD CS2230 M2 NVMe PCIe Gen3x4 500Go R3300/W2500 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: PNY GEFORCE RTX 5060TI 8Go OC DUAL FAN - Boîtier GAMER INCA EMG-15XN - BLOC D'ALIMENTATION AEROCOOL LUX 550W BRONZE - Dimensions: 345 x 183 x 430 mm - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",3039,,Sur commande 48h,MYTEK
65869,Pc de Bureau Gamer MYTEK i5 12è Gén 16G RTX 5060 Ti 8G,SNOWOLF-12400-5060Ti-1T,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max , 18Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M470 Pro M.2 NVME Gen4x4 1To R6000-W4500 - Carte mère: MSI PRO H610M-E DDR4 mATX - Carte graphique: MSI GeForce RTX 5060 Ti 8G VENTUS 2X OC PLUS - Boîtier Gamer MSI MAG FORGE M100R WHITE / Micro-ATX / 4 ventilo ARGB + Controlleur - Alimentation MSI MAG A650BNL 650W BRONZE - Dimensions: 388 x 200 x 423 mm - Couleur: Blanc - Garantie: 1an Retrait en Magasin ou Livraison Gratuite *",3059,,Sur commande 48h,POWERED-BY-MSI-ADVANCED
